Login=Login|Login
Rechazado=Rechazado|Rejected
Vencido=Vencido|Expired
Facturado=Facturado|Invoiced
Cantidad=Cantidad|Quantity
Precio=Precio|Price
Desc %=Desc %|Discount %
Total=Total|Total
Debe seleccionar un cliente válido=Debe seleccionar un cliente válido|You must select a valid client
Debe agregar al menos un artículo al presupuesto=Debe agregar al menos un artículo al presupuesto|You must add at least one item to the budget
Presupuesto actualizado correctamente=Presupuesto actualizado correctamente|Budget updated correctly
Presupuesto creado correctamente=Presupuesto creado correctamente|Budget created correctly
Error al guardar presupuesto=Error al guardar presupuesto|Error saving budget
El número de presupuesto es obligatorio.=El número de presupuesto es obligatorio.|Budget number is required.
El presupuesto debe tener al menos un detalle.=El presupuesto debe tener al menos un detalle.|The budget must have at least one detail.
Todos los detalles deben tener un código de producto válido.=Todos los detalles deben tener un código de producto válido.|All details must have a valid product code.
No hay un presupuesto seleccionado para modificar=No hay un presupuesto seleccionado para modificar|No budget selected to modify
Solo se pueden modificar presupuestos en estado Emitido=Solo se pueden modificar presupuestos en estado Emitido|Only issued budgets can be modified
No hay un presupuesto seleccionado para eliminar=No hay un presupuesto seleccionado para eliminar|No budget selected to delete
Solo se pueden eliminar presupuestos en estado Emitido=Solo se pueden eliminar presupuestos en estado Emitido|Only issued budgets can be deleted
¿Está seguro de eliminar este presupuesto?=¿Está seguro de eliminar este presupuesto?|Are you sure you want to delete this budget?
El presupuesto cambiará a estado Borrado.=El presupuesto cambiará a estado Borrado.|The budget will change to Deleted status.
Presupuesto marcado como Borrado exitosamente=Presupuesto marcado como Borrado exitosamente|Budget marked as Deleted successfully
Error al eliminar presupuesto=Error al eliminar presupuesto|Error deleting budget
No hay un presupuesto seleccionado para copiar=No hay un presupuesto seleccionado para copiar|No budget selected to copy
Presupuesto copiado exitosamente=Presupuesto copiado exitosamente|Budget copied successfully
Error al copiar presupuesto=Error al copiar presupuesto|Error copying budget
No hay un presupuesto seleccionado para aprobar=No hay un presupuesto seleccionado para aprobar|No budget selected to approve
Solo se pueden aprobar presupuestos en estado Emitido=Solo se pueden aprobar presupuestos en estado Emitido|Only issued budgets can be approved
¿Está seguro de aprobar este presupuesto?=¿Está seguro de aprobar este presupuesto?|Are you sure you want to approve this budget?
Confirmar aprobación=Confirmar aprobación|Confirm approval
Presupuesto aprobado exitosamente=Presupuesto aprobado exitosamente|Budget approved successfully
Error al aprobar presupuesto=Error al aprobar presupuesto|Error approving budget
No hay un presupuesto seleccionado para rechazar=No hay un presupuesto seleccionado para rechazar|No budget selected to reject
Solo se pueden rechazar presupuestos en estado Emitido=Solo se pueden rechazar presupuestos en estado Emitido|Only issued budgets can be rejected
¿Está seguro de rechazar este presupuesto?=¿Está seguro de rechazar este presupuesto?|Are you sure you want to reject this budget?
Confirmar rechazo=Confirmar rechazo|Confirm rejection
Presupuesto rechazado exitosamente=Presupuesto rechazado exitosamente|Budget rejected successfully
Error al rechazar presupuesto=Error al rechazar presupuesto|Error rejecting budget
No hay un presupuesto seleccionado para ver el reporte=No hay un presupuesto seleccionado para ver el reporte|No budget selected to view report
Funcionalidad de reporte no implementada aún=Funcionalidad de reporte no implementada aún|Report functionality not implemented yet
No hay un presupuesto seleccionado para imprimir=No hay un presupuesto seleccionado para imprimir|No budget selected to print
PDF generado exitosamente=PDF generado exitosamente|PDF generated successfully
Error al generar el PDF=Error al generar el PDF|Error generating PDF
Seleccionar Cliente=Seleccionar Cliente|Select Client
Buscar por código, razón social o CUIT...=Buscar por código, razón social o CUIT...|Search by code, business name or CUIT...
Seleccionar Producto=Seleccionar Producto|Select Product
Buscar por código o descripción...=Buscar por código o descripción...|Search by code or description...
No hay productos disponibles=No hay productos disponibles|No products available
Debe ingresar un valor numérico válido mayor o igual a cero.=Debe ingresar un valor numérico válido mayor o igual a cero.|You must enter a valid numeric value greater than or equal to zero.
¿Está seguro de eliminar este detalle?=¿Está seguro de eliminar este detalle?|Are you sure you want to delete this detail?
Error de datos=Error de datos|Data error
Error en la columna=Error en la columna|Error in column
fila=fila|row
Funcionalidad de búsqueda no implementada aún=Funcionalidad de búsqueda no implementada aún|Search functionality not implemented yet
Presupuestos actualizados correctamente=Presupuestos actualizados correctamente|Budgets updated correctly
Error al actualizar presupuestos=Error al actualizar presupuestos|Error updating budgets
Seleccionar Lista de Precios=Seleccionar Lista de Precios|Select Price List
Buscar por código o nombre...=Buscar por código o nombre...|Search by code or name...
No hay listas de precios disponibles=No hay listas de precios disponibles|No price lists available
Error al buscar lista de precios=Error al buscar lista de precios|Error searching price list
Error al cargar el formulario=Error al cargar el formulario|Error loading form
Error al cargar=Error al cargar|Error loading
Error al guardar=Error al guardar|Error saving
Error al actualizar=Error al actualizar|Error updating
Error al buscar=Error al buscar|Error searching
Error al mostrar selector de=Error al mostrar selector de|Error showing selector for
clientes=clientes|clients
productos=productos|products
vendedores=vendedores|vendors
listas de precios=listas de precios|price lists
Error al cargar clientes=Error al cargar clientes|Error loading clients
Error al cargar productos=Error al cargar productos|Error loading products
Error al cargar vendedores=Error al cargar vendedores|Error loading vendors
Error al cargar listas de precios=Error al cargar listas de precios|Error loading price lists
Error al cargar provincias=Error al cargar provincias|Error loading provinces
No se encontró ninguna cadena de conexión válida en App.config=No se encontró ninguna cadena de conexión válida en App.config|No valid connection string found in App.config
Id=Id|Id
Activo=Activo|Active
Inactivo=Inactivo|Inactive
El campo es requerido=El campo es requerido|Field is required
Formato inválido=Formato inválido|Invalid format
Valor debe ser mayor a cero=Valor debe ser mayor a cero|Value must be greater than zero
Valor debe ser entre 0 y 100=Valor debe ser entre 0 y 100|Value must be between 0 and 100
Debe completar este campo=Debe completar este campo|You must complete this field
Campo obligatorio=Campo obligatorio|Required field
N° cotización=N° cotización|Budget No.
Emision=Emision|Issue Date
Vendedor=Vendedor|Vendor
Cond. pago=Cond. pago|Payment Terms
Plazo de entrega=Plazo de entrega|Delivery Time
Día/s=Día/s|Day(s)
Semana/s=Semana/s|Week(s)
Mese/s=Mese/s|Month(s)
Firma de contrato=Firma de contrato|Contract Signing
Aprobación del presupuesto=Aprobación del presupuesto|Budget Approval
Recepción del pago=Recepción del pago|Payment Receipt
A partir de la=A partir de la|Starting from
Lista de precios=Lista de precios|Price List
Vencimiento=Vencimiento|Due Date
Subtotal=Subtotal|Subtotal
IIBB Arba=IIBB Arba|IIBB Arba
Modificar=Modificar|Modify
Copiar=Copiar|Copy
Primero=Primero|First
Anterior=Anterior|Previous
Siguiente=Siguiente|Next
Ultimo=Ultimo|Last
Actualizar=Actualizar|Refresh
Reporte=Reporte|Report
Imprimir=Imprimir|Print
Aprobar=Aprobar|Approve
Rechazar=Rechazar|Reject
Error al generar=Error al generar|Error generating
Sistema de cotizaciones=Sistema de cotizaciones|Budget System
Copiar cotizacion=Copiar cotizacion|Copy budget
Actualizar cotizaciones=Actualizar cotizaciones|Refresh budgets
Sistema de presupuestos=Sistema de presupuestos|Budget System
Archivo=Archivo|File
Configuración=Configuración|Configuration
Digito Verificador=Digito Verificador|Digit Verifier
Salir=Salir|Exit
Maestros=Maestros|Masters
Clientes=Clientes|Clients
Productos=Productos|Products
Usuarios=Usuarios|Users
Vendedores=Vendedores|Vendors
Lista Precio=Lista Precio|Price List
Presupuesto=Presupuesto|Budget
Gestión de Cotizaciones=Gestión de Cotizaciones|Budget Management
Ventas=Ventas|Sales
Emisión de Factura=Emisión de Factura|Invoice Issuance
Actualizar Padrón Arba=Actualizar Padrón Arba|Update ARBA Registry
Ayuda=Ayuda|Help
Facturación de Presupuestos=Facturación de Presupuestos|Budget Invoicing
Seleccionados=Seleccionados|Selected
Total presupuestos=Total presupuestos|Total budgets
Cliente: (ninguno)=Cliente: (ninguno)|Client: (none)
Subtotal (Neto)=Subtotal (Neto)|Subtotal (Net)
IIBB ARBA=IIBB ARBA|IIBB ARBA
Obtener CAE=Obtener CAE|Get CAE
Gestión de Usuario=Gestión de Usuario|User Management
Contraseña=Contraseña|Password
Familias=Familias|Families
Patentes=Patentes|Patents
Código Cliente=Código Cliente|Client Code
Tipo Documento=Tipo Documento|Document Type
Código Vendedor=Código Vendedor|Vendor Code
Incluye IVA=Incluye IVA|Includes VAT
Productos y Precios=Productos y Precios|Products and Prices
Imprimir cotización=Imprimir cotización|Print budget
Usuario=Usuario|User
Password=Password|Password
CUIT/DNI=CUIT/DNI|CUIT/DNI
Error al actualizar detalle=Error al actualizar detalle|Error updating detail
Error al cancelar=Error al cancelar|Error canceling
Error al calcular totales=Error al calcular totales|Error calculating totals
No se pudo cargar el presupuesto=No se pudo cargar el presupuesto|Could not load budget
Error al crear nuevo presupuesto=Error al crear nuevo presupuesto|Error creating new budget
Error al buscar cliente=Error al buscar cliente|Error searching client
Error al buscar producto=Error al buscar producto|Error searching product
Error al generar el reporte=Error al generar el reporte|Error generating report
NUEVO=NUEVO|NEW
Todos los formularios abiertos se han actualizado automáticamente.=Todos los formularios abiertos se han actualizado automáticamente.|All open forms have been updated automatically.
Debe seleccionar un cliente para editar=Debe seleccionar un cliente para editar|You must select a client to edit
Debe seleccionar un cliente para eliminar=Debe seleccionar un cliente para eliminar|You must select a client to delete
¿Está seguro que desea desactivar el cliente=¿Está seguro que desea desactivar el cliente|Are you sure you want to deactivate the client
Cliente desactivado exitosamente=Cliente desactivado exitosamente|Client deactivated successfully
Error al desactivar cliente=Error al desactivar cliente|Error deactivating client
Debe seleccionar un cliente para reactivar=Debe seleccionar un cliente para reactivar|You must select a client to reactivate
El cliente ya está activo=El cliente ya está activo|The client is already active
Cliente reactivado exitosamente=Cliente reactivado exitosamente|Client reactivated successfully
Error al reactivar cliente=Error al reactivar cliente|Error reactivating client
Debe seleccionar un producto para editar=Debe seleccionar un producto para editar|You must select a product to edit
Debe seleccionar un producto para inhabilitar=Debe seleccionar un producto para inhabilitar|You must select a product to disable
El producto ya está inhabilitado=El producto ya está inhabilitado|The product is already disabled
¿Está seguro que desea inhabilitar el producto=¿Está seguro que desea inhabilitar el producto|Are you sure you want to disable the product
Confirmar Inhabilitación=Confirmar Inhabilitación|Confirm Disablement
Producto inhabilitado exitosamente=Producto inhabilitado exitosamente|Product disabled successfully
Error al inhabilitar producto=Error al inhabilitar producto|Error disabling product
Seleccione una lista de precios para editar=Seleccione una lista de precios para editar|Select a price list to edit
Error al abrir formulario de alta=Error al abrir formulario de alta|Error opening new form
Error al abrir formulario de edición=Error al abrir formulario de edición|Error opening edit form
Seleccione una lista de precios para desactivar=Seleccione una lista de precios para desactivar|Select a price list to deactivate
¿Está seguro que desea desactivar la lista=¿Está seguro que desea desactivar la lista|Are you sure you want to deactivate the list
Confirmar Desactivación=Confirmar Desactivación|Confirm Deactivation
Lista de precios desactivada exitosamente=Lista de precios desactivada exitosamente|Price list deactivated successfully
Error al desactivar lista de precios=Error al desactivar lista de precios|Error deactivating price list
Seleccione una lista de precios para reactivar=Seleccione una lista de precios para reactivar|Select a price list to reactivate
¿Está seguro que desea reactivar la lista=¿Está seguro que desea reactivar la lista|Are you sure you want to reactivate the list
Confirmar Reactivación=Confirmar Reactivación|Confirm Reactivation
Lista de precios reactivada exitosamente=Lista de precios reactivada exitosamente|Price list reactivated successfully
Error al reactivar lista de precios=Error al reactivar lista de precios|Error reactivating price list
Error al cargar presupuestos aprobados=Error al cargar presupuestos aprobados|Error loading approved budgets
No puede seleccionar presupuestos de diferentes clientes=No puede seleccionar presupuestos de diferentes clientes|Cannot select budgets from different clients
Cliente actual=Cliente actual|Current client
Presupuesto seleccionado=Presupuesto seleccionado|Selected budget
Desconocido=Desconocido|Unknown
Debe seleccionar al menos un presupuesto para facturar=Debe seleccionar al menos un presupuesto para facturar|You must select at least one budget to invoice
Error al obtener el CAE=Error al obtener el CAE|Error getting CAE
Error de Facturación=Error de Facturación|Invoicing Error
¡Factura generada exitosamente!=¡Factura generada exitosamente!|Invoice generated successfully!
Factura=Factura|Invoice
Fecha=Fecha|Date
Vencimiento CAE=Vencimiento CAE|CAE Expiration
Presupuestos=Presupuestos|Budgets
¿Desea generar el PDF de la factura?=¿Desea generar el PDF de la factura?|Do you want to generate the invoice PDF?
Factura Generada=Factura Generada|Invoice Generated
PDF generado y abierto exitosamente=PDF generado y abierto exitosamente|PDF generated and opened successfully
Error al actualizar el estado de los presupuestos a Facturado=Error al actualizar el estado de los presupuestos a Facturado|Error updating budgets status to Invoiced
Los=Los|The
presupuesto(s) fueron marcados como Facturados exitosamente=presupuesto(s) fueron marcados como Facturados exitosamente|budget(s) were successfully marked as Invoiced
Error al procesar la facturación=Error al procesar la facturación|Error processing invoice
Fecha Emisión=Fecha Emisión|Issue Date
Sel.=Sel.|Sel.
Error al configurar el menú=Error al configurar el menú|Error configuring menu
Error al cargar usuarios=Error al cargar usuarios|Error loading users
Editar Cliente=Editar Cliente|Edit Client
Nuevo Cliente=Nuevo Cliente|New Client
No se encontró el cliente=No se encontró el cliente|Client not found
La alícuota ARBA debe ser un número válido=La alícuota ARBA debe ser un número válido|ARBA rate must be a valid number
Cliente actualizado exitosamente=Cliente actualizado exitosamente|Client updated successfully
Cliente creado exitosamente=Cliente creado exitosamente|Client created successfully
Error al guardar cliente=Error al guardar cliente|Error saving client
Seleccionar Vendedor=Seleccionar Vendedor|Select Vendor
Buscar por código, nombre o CUIT...=Buscar por código, nombre o CUIT...|Search by code, name or CUIT...
Nuevo Vendedor=Nuevo Vendedor|New Vendor
Editar Vendedor=Editar Vendedor|Edit Vendor
Vendedor actualizado exitosamente=Vendedor actualizado exitosamente|Vendor updated successfully
Vendedor creado exitosamente=Vendedor creado exitosamente|Vendor created successfully
Error al guardar vendedor=Error al guardar vendedor|Error saving vendor
El código de vendedor es obligatorio=El código de vendedor es obligatorio|Vendor code is required
El código debe tener exactamente 2 dígitos=El código debe tener exactamente 2 dígitos|Code must be exactly 2 digits
El nombre es obligatorio=El nombre es obligatorio|Name is required
El CUIT es obligatorio=El CUIT es obligatorio|CUIT is required
El CUIT debe tener 11 dígitos=El CUIT debe tener 11 dígitos|CUIT must have 11 digits
La comisión debe estar entre 0 y 100=La comisión debe estar entre 0 y 100|Commission must be between 0 and 100
Por favor, corrija los errores señalados=Por favor, corrija los errores señalados|Please correct the highlighted errors
Nuevo Producto=Nuevo Producto|New Product
Editar Producto=Editar Producto|Edit Product
No se encontró el producto especificado=No se encontró el producto especificado|Product not found
21% - IVA General=21% - IVA General|21% - General VAT
10.5% - IVA Reducido=10.5% - IVA Reducido|10.5% - Reduced VAT
Exento=Exento|Exempt
Producto guardado exitosamente=Producto guardado exitosamente|Product saved successfully
Error al guardar el producto=Error al guardar el producto|Error saving product
Nueva Lista de Precios=Nueva Lista de Precios|New Price List
Editar Lista de Precios=Editar Lista de Precios|Edit Price List
El código es requerido=El código es requerido|Code is required
El nombre es requerido=El nombre es requerido|Name is required
Debe agregar al menos un producto a la lista de precios=Debe agregar al menos un producto a la lista de precios|You must add at least one product to the price list
Lista de precios creada exitosamente=Lista de precios creada exitosamente|Price list created successfully
Lista de precios actualizada exitosamente=Lista de precios actualizada exitosamente|Price list updated successfully
Error al guardar lista de precios=Error al guardar lista de precios|Error saving price list
El código del producto debe tener al menos 3 caracteres=El código del producto debe tener al menos 3 caracteres|Product code must be at least 3 characters
Producto no encontrado=Producto no encontrado|Product not found
¿Está seguro de eliminar este producto?=¿Está seguro de eliminar este producto?|Are you sure you want to delete this product?
Confirmar eliminación=Confirmar eliminación|Confirm deletion
Actualización de Padrón ARBA=Actualización de Padrón ARBA|ARBA Registry Update
Este proceso actualizará las alícuotas ARBA de todos los clientes Responsables Inscriptos.=Este proceso actualizará las alícuotas ARBA de todos los clientes Responsables Inscriptos.|This process will update ARBA rates for all Registered Taxpayer clients.
Listo para actualizar padrón ARBA=Listo para actualizar padrón ARBA|Ready to update ARBA registry
Actualizar Padrón=Actualizar Padrón|Update Registry
Cancelar Proceso=Cancelar Proceso|Cancel Process
¿Está seguro de actualizar las alícuotas ARBA?=¿Está seguro de actualizar las alícuotas ARBA?|Are you sure you want to update ARBA rates?
Esta operación actualizará TODOS los clientes con tipo de IVA 'RESPONSABLE INSCRIPTO' asignándoles alícuotas aleatorias entre 0.5% y 5%.=Esta operación actualizará TODOS los clientes con tipo de IVA 'RESPONSABLE INSCRIPTO' asignándoles alícuotas aleatorias entre 0.5% y 5%.|This operation will update ALL clients with 'REGISTERED TAXPAYER' VAT type assigning random rates between 0.5% and 5%.
Este proceso puede tardar unos momentos.=Este proceso puede tardar unos momentos.|This process may take a few moments.
Confirmar Actualización=Confirmar Actualización|Confirm Update
Iniciando actualización...=Iniciando actualización...|Starting update...
Obteniendo clientes Responsables Inscriptos...=Obteniendo clientes Responsables Incriptos...|Getting Registered Taxpayer clients...
No hay clientes Responsables Inscriptos para actualizar.=No hay clientes Responsables Inscriptos para actualizar.|There are no Registered Taxpayer clients to update.
Se encontraron=Se encontraron|Found
clientes para actualizar...=clientes para actualizar...|clients to update...
Actualizando alícuotas...=Actualizando alícuotas...|Updating rates...
Procesando clientes...=Procesando clientes...|Processing clients...
Actualización completada.=Actualización completada.|Update completed.
% completado=% completado|% completed
Actualización cancelada por el usuario.=Actualización cancelada por el usuario.|Update cancelled by user.
Cancelado=Cancelado|Cancelled
La actualización fue cancelada.=La actualización fue cancelada.|The update was cancelled.
Error al actualizar padrón.=Error al actualizar padrón.|Error updating registry.
Error al actualizar el padrón ARBA=Error al actualizar el padrón ARBA|Error updating ARBA registry
Actualización completada:=Actualización completada:|Update completed:
clientes actualizados.=clientes actualizados.|clients updated.
Actualización completada exitosamente.=Actualización completada exitosamente.|Update completed successfully.
Clientes actualizados:=Clientes actualizados:|Clients updated:
No se puede cerrar el formulario mientras se está actualizando el padrón.=No se puede cerrar el formulario mientras se está actualizando el padrón.|Cannot close form while updating registry.
Por favor, espere a que termine o cancele la operación.=Por favor, espere a que termine o cancele la operación.|Please wait for completion or cancel the operation.
Demostración: Dígitos Verificadores=Demostración: Dígitos Verificadores|Demonstration: Check Digits
Demostración: Dígitos Verificadores de Productos=Demostración: Dígitos Verificadores de Productos|Demonstration: Product Check Digits
Suma de Control (Lote): N/A=Suma de Control (Lote): N/A|Control Sum (Batch): N/A
Listo para cargar datos.=Listo para cargar datos.|Ready to load data.
Controles de la Demo=Controles de la Demo|Demo Controls
1. Cargar Datos=1. Cargar Datos|1. Load Data
2. Calcular Dígitos=2. Calcular Dígitos|2. Calculate Digits
3. Simular Corrupción=3. Simular Corrupción|3. Simulate Corruption
4. Verificar Integridad=4. Verificar Integridad|4. Verify Integrity
Dígito H=Dígito H|Digit H
IVA %=IVA %|VAT %
Producto A=Producto A|Product A
Producto B=Producto B|Product B
Producto C=Producto C|Product C
Producto D=Producto D|Product D
Producto E=Producto E|Product E
Datos cargados. Presione 'Calcular Dígitos' para continuar.=Datos cargados. Presione 'Calcular Dígitos' para continuar.|Data loaded. Press 'Calculate Digits' to continue.
No hay datos cargados. Presione 'Cargar Datos' primero.=No hay datos cargados. Presione 'Cargar Datos' primero.|No data loaded. Press 'Load Data' first.
Lote Calculado y Sellado ✅ (DVH + DVV calculados)=Lote Calculado y Sellado ✅ (DVH + DVV calculados)|Batch Calculated and Sealed ✅ (DVH + DVV calculated)
Suma de Control (Lote):=Suma de Control (Lote):|Control Sum (Batch):
DVV General:=DVV General:|General DVV:
No hay datos para corromper. Cargue y calcule dígitos primero.=No hay datos para corromper. Cargue y calcule dígitos primero.|No data to corrupt. Load and calculate digits first.
